unix_time,moisture,temp_c
1788779261,833,22.57
1788779565,811,23.18
1788779869,809,22.98
1788780173,800,22.98
1788780477,819,22.98
1788780781,806,23.18
1788781086,846,23.08
1788781390,797,22.78
1788781694,800,23.08
1788781998,800,23.08
1788782350,820,22.98
1788782650,782,23.08
1788782951,810,22.67
1788783251,802,23.18
1788783551,800,22.98
1788783851,778,23.08
1788784152,824,23.18
1788784452,838,22.78
1788784752,812,23.18
1788785053,802,22.78
1788785353,717,23.08
1788785653,728,22.78
1788785954,729,22.98
1788786254,729,23.18
1788786554,726,23.18
1788786854,728,23.18
1788787154,731,23.18
1788787453,724,23.70
1788787753,768,23.40
1788788053,737,23.29
1788788352,730,23.60
1788788652,784,23.50
1788788952,732,23.70
1788789251,757,23.29
1788789551,762,23.50
1788789851,729,23.50
1788790150,771,23.70
1788790450,768,23.50
1788790750,740,23.60
1788791050,772,23.60
1788791349,733,23.18
1788791649,748,23.40
1788791949,731,23.60
1788792248,738,23.29
1788792548,725,23.40
1788792847,728,23.18
1788793147,713,23.29
1788793446,719,23.29
1788793746,719,23.50
1788794045,711,23.08
1788794345,747,23.81
1788794644,756,23.70
1788794943,711,23.60
1788795243,752,23.81
1788795542,731,23.60
1788795841,727,23.81
1788796140,706,23.91
1788796439,702,23.60
1788796738,719,23.81
1788797036,711,23.50
1788797335,753,23.81
1788797634,721,23.81
1788797932,717,23.70
1788798231,722,24.01
1788798529,723,24.11
1788798827,712,24.11
1788799126,727,24.22
1788799424,701,24.01
1788799722,724,24.22
1788800020,708,24.53
1788800317,760,24.01
1788800615,715,24.32
1788800913,710,25.66
1788801210,747,24.32
1788801507,722,24.63
1788801805,745,24.11
1788802102,703,24.63
1788802399,723,24.42
1788802696,762,24.74
1788802993,705,25.04
1788803290,764,24.63
1788803586,702,24.53
1788803883,702,24.94
1788804179,756,24.84
1788804476,707,25.04
1788804772,735,25.04
1788805068,708,25.25
1788805364,714,25.35
1788805659,708,24.94
1788805955,758,25.66
1788806251,733,25.56
1788806546,715,25.77
1788806841,731,25.46
1788807136,712,25.87
1788807431,766,25.77
1788807726,749,25.46
1788808021,706,25.46
1788808315,724,25.77
1788808609,766,26.28
1788808903,719,26.08
1788809197,714,26.17
1788809491,705,26.49
1788809786,710,25.25
1788810081,729,24.74
1788810378,732,24.11
1788810674,745,24.11
1788810971,740,24.01
1788811268,762,23.91
1788811565,709,23.60
1788811863,718,23.29
1788812161,727,23.08
1788812459,719,23.50
1788812757,722,22.78
1788813055,734,23.08
1788813354,705,23.08
1788813653,738,22.88
1788813952,706,22.57
1788814250,715,22.67
1788814549,725,22.57
1788814849,732,22.57
1788815148,720,22.57
1788815448,755,22.36
1788815748,716,22.78
1788816047,701,22.26
1788816348,702,22.05
1788816648,739,22.05
1788816948,731,21.65
1788817249,714,21.65
1788817550,758,21.65
1788817851,705,21.75
1788818152,700,21.33
1788818453,737,21.85
1788818754,758,21.75
1788819056,751,21.23
1788819358,723,21.33
1788819659,716,21.43
1788819961,715,21.43
1788820263,700,21.33
1788820565,698,21.43
1788820868,721,20.81
1788821170,714,20.92
1788821473,727,20.81
1788821775,746,20.61
1788822078,722,20.61
1788822381,717,20.41
1788822684,718,20.61
1788822988,721,20.71
1788823291,701,20.30
1788823595,738,20.71
1788823898,706,20.09
1788824203,716,20.09
1788824507,722,20.20
1788824811,721,20.30
1788825116,701,20.09
1788825421,700,19.89
1788825726,716,19.58
1788826031,756,19.79
1788826336,726,19.68
1788826641,718,20.41
1788826945,702,20.81
1788827248,711,21.12
1788827551,705,21.43
1788827853,712,21.75
1788828155,699,21.33
1788828456,738,21.95
1788828757,724,21.54
1788829058,728,22.46
1788829359,703,22.57
1788829659,701,22.67
1788829959,702,22.36
1788830258,723,22.98
1788830558,721,22.98
1788830857,754,22.88
1788831156,717,23.29
1788831455,702,22.78
1788831754,722,22.98
1788832054,701,23.29
1788832353,723,22.98
1788832652,738,22.98
1788832951,758,23.50
1788833250,751,23.18
1788833549,703,23.50
1788833848,703,22.98
1788834147,719,23.08
1788834446,725,23.40
1788834746,704,23.08
1788835045,717,23.40
1788835344,721,23.91
1788835643,699,23.50
1788835942,710,23.50
1788836241,703,23.40
1788836539,700,23.29
1788836838,739,23.40
1788837137,718,23.70
1788837436,754,23.60
1788837735,704,23.29
1788838034,717,23.40
1788838333,708,23.70
1788838632,709,23.81
1788838931,705,23.50
1788839230,720,23.70
1788839529,723,23.50
1788839828,700,23.40
1788840127,707,23.70
1788840426,700,23.50
1788840725,697,23.81
1788841024,728,23.50
1788841323,727,23.40
1788841622,724,23.08
1788841921,748,23.18
1788842220,748,23.40
1788842519,744,23.29
1788842818,704,23.40
1788843117,739,23.40
1788843417,746,23.08
1788843716,719,23.18
1788844015,702,23.60
1788844314,719,23.18
1788844614,723,23.40
1788844913,715,23.40
1788845212,742,23.40
1788845512,754,23.40
1788845811,703,23.50
1788846110,753,23.40
1788846410,718,23.40
1788846709,721,23.50
1788847008,724,23.08
1788847308,729,23.60
1788847607,718,23.08
1788847907,714,23.29
1788848206,714,23.18
1788848505,723,23.40
1788848805,706,23.60
1788849105,759,23.70
1788849404,745,23.40
1788849704,707,23.08
1788850003,700,23.40
1788850303,758,22.98
1788850603,722,23.81
1788850902,721,23.18
1788851202,754,22.98
1788851502,728,23.70
1788851802,725,22.98
1788852102,719,22.88
1788852402,703,22.98
1788852702,705,23.29
1788853002,722,23.40
1788853301,749,23.08
1788853601,750,23.18
1788853901,705,22.98
1788854202,735,22.88
1788854502,707,22.88
1788854802,751,23.29
1788855102,759,22.98
1788855402,723,22.78
1788855702,731,23.29
1788856003,717,23.50
1788856303,708,23.08
1788856603,740,23.18
1788856903,750,23.18
1788857204,705,22.88
1788857504,716,22.88
1788857804,701,23.08
1788858104,700,22.98
1788858405,715,22.67
1788858705,710,22.88
1788859005,717,22.88
1788859306,752,22.98
1788859606,727,22.78
1788859907,711,22.98
1788860207,698,22.67
1788860508,703,22.98
1788860808,727,22.98
1788861109,731,22.78
1788861410,717,22.88
1788861710,723,22.98
1788862011,714,22.88
1788862312,700,22.78
1788862613,741,22.78
1788862914,714,22.67
1788863215,705,22.36
1788863516,707,22.78
1788863817,715,22.67
1788864117,706,22.98
1788864418,703,22.67
1788864718,705,22.88
1788865019,717,23.18
1788865319,746,22.88
1788865619,753,23.40
1788865920,743,22.88
1788866220,752,22.88
1788866520,763,22.98
1788866820,724,23.29
1788867120,754,23.29
1788867420,751,22.98
1788867719,715,23.29
1788868019,713,23.40
1788868319,759,23.18
1788868771,700,23.29
1788869071,715,23.08
1788869371,716,23.40
1788869672,704,23.29
1788869972,756,23.40
1788870273,703,23.08
1788870573,754,23.08
1788870874,701,23.08
1788871175,697,23.40
1788871476,720,22.67
1788871776,704,22.78
1788872077,708,22.88
1788872378,706,22.88
1788872679,712,22.98
1788872980,708,22.78
1788873280,703,22.78
1788873581,701,22.78
1788873882,715,22.98
1788874182,705,22.98
1788874483,720,22.78
1788874783,706,23.18
1788875084,699,22.88
1788875384,721,23.18
1788875684,710,23.29
1788875984,732,22.98
1788876284,728,23.18
1788876584,703,23.18
1788876885,752,22.88
1788877185,694,23.18
1788877485,721,23.18
1788877786,721,23.60
1788878086,741,22.88
1788878387,717,23.18
1788878687,714,23.18
1788878988,711,23.40
1788879288,731,23.29
1788879588,708,23.50
1788879889,721,23.08
1788880189,727,23.18
1788880490,706,23.18
1788880790,727,23.18
1788881090,701,23.40
1788881390,731,23.40
1788881690,715,23.40
1788881990,722,23.08
1788882290,735,23.40
1788882590,726,23.60
